domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Barman-BDI,pfile11,lmcount,19.2884,100,421887,,,,,,,,,,,,,
Barman-BDI,pfile11,Novelty-lm-f-t,25.1908,105,549692,,,,,,,,,,,,,
Barman-BDI,pfile11,Novelty-lm-tdg-f-t,1.2184,124,6967,,,,,,,,,,,,,
Barman-BDI,pfile05,lmcount,2.4223,50,95866,,,,,,,,,,,,,
Barman-BDI,pfile05,Novelty-lm-f-t,2.9103,49,106202,,,,,,,,,,,,,
Barman-BDI,pfile05,Novelty-lm-tdg-f-t,0.222,63,2320,,,,,,,,,,,,,
Barman-BDI,pfile12,lmcount,12.1955,79,276895,,,,,,,,,,,,,
Barman-BDI,pfile12,Novelty-lm-f-t,30.723,76,674903,,,,,,,,,,,,,
Barman-BDI,pfile12,Novelty-lm-tdg-f-t,0.9656,84,6245,,,,,,,,,,,,,
Barman-BDI,pfile10,lmcount,8.1866,50,220234,,,,,,,,,,,,,
Barman-BDI,pfile10,Novelty-lm-f-t,1.6484,45,41347,,,,,,,,,,,,,
Barman-BDI,pfile10,Novelty-lm-tdg-f-t,0.3952,59,1984,,,,,,,,,,,,,
Barman-BDI,pfile13,lmcount,56.3082,153,870751,,,,,,,,,,,,,
Barman-BDI,pfile13,Novelty-lm-f-t,114.1381,152,1833859,,,,,,,,,,,,,
Barman-BDI,pfile13,Novelty-lm-tdg-f-t,4.5207,194,18583,,,,,,,,,,,,,
Barman-BDI,pfile15,lmcount,250.4916,165,2775834,,,,,,,,,,,,,
Barman-BDI,pfile15,Novelty-lm-f-t,454.1767,170,5230935,,,,,,,,,,,,,
Barman-BDI,pfile15,Novelty-lm-tdg-f-t,9.4422,216,27585,,,,,,,,,,,,,
Barman-BDI,pfile03,lmcount,0.4163,52,15402,,,,,,,,,,,,,
Barman-BDI,pfile03,Novelty-lm-f-t,1.72,48,69340,,,,,,,,,,,,,
Barman-BDI,pfile03,Novelty-lm-tdg-f-t,0.1709,62,2008,,,,,,,,,,,,,
Barman-BDI,pfile16,lmcount,256.493,254,2813910,,,,,,,,,,,,,
Barman-BDI,pfile16,Novelty-lm-tdg-f-t,19.5134,294,56002,,,,,,,,,,,,,
Barman-BDI,pfile06,lmcount,1.4284,70,44678,,,,,,,,,,,,,
Barman-BDI,pfile06,Novelty-lm-f-t,2.4533,71,84318,,,,,,,,,,,,,
Barman-BDI,pfile06,Novelty-lm-tdg-f-t,0.3178,82,3656,,,,,,,,,,,,,
Barman-BDI,pfile02,lmcount,0.5173,28,26934,,,,,,,,,,,,,
Barman-BDI,pfile02,Novelty-lm-f-t,0.2209,28,10427,,,,,,,,,,,,,
Barman-BDI,pfile02,Novelty-lm-tdg-f-t,0.0651,36,957,,,,,,,,,,,,,
Barman-BDI,pfile14,lmcount,96.7697,76,1412089,,,,,,,,,,,,,
Barman-BDI,pfile14,Novelty-lm-f-t,43.2975,78,596302,,,,,,,,,,,,,
Barman-BDI,pfile14,Novelty-lm-tdg-f-t,2.1904,88,7408,,,,,,,,,,,,,
Barman-BDI,pfile04,lmcount,0.1172,35,2756,,,,,,,,,,,,,
Barman-BDI,pfile04,Novelty-lm-f-t,0.3345,29,13114,,,,,,,,,,,,,
Barman-BDI,pfile04,Novelty-lm-tdg-f-t,0.1409,37,1817,,,,,,,,,,,,,
Barman-BDI,pfile07,lmcount,0.237,32,5069,,,,,,,,,,,,,
Barman-BDI,pfile07,Novelty-lm-f-t,0.3983,30,14007,,,,,,,,,,,,,
Barman-BDI,pfile07,Novelty-lm-tdg-f-t,0.1433,27,1039,,,,,,,,,,,,,
Barman-BDI,pfile09,lmcount,5.6015,67,157432,,,,,,,,,,,,,
Barman-BDI,pfile09,Novelty-lm-f-t,5.6899,66,158291,,,,,,,,,,,,,
Barman-BDI,pfile09,Novelty-lm-tdg-f-t,0.4177,85,2699,,,,,,,,,,,,,
Barman-BDI,pfile08,lmcount,1.5029,46,40973,,,,,,,,,,,,,
Barman-BDI,pfile08,Novelty-lm-f-t,0.9718,48,29333,,,,,,,,,,,,,
Barman-BDI,pfile08,Novelty-lm-tdg-f-t,0.2951,54,2075,,,,,,,,,,,,,
