domain,experiment_name,coverage,avg_solution_size,avg_expanded_nodes
Barman-BDI,lmcount,16,79.62,573880.50
Barman-BDI,Novelty-lm-f-t,15,67.27,627574.20
Barman-BDI,Novelty-lm-tdg-f-t,17,114.06,21267.82
Barman-BDI,lmcount-tdg,17,109.76,25175.00
Blocksworld-GTOHP,lmcount,26,481.12,12922.35
Blocksworld-GTOHP,Novelty-lm-f-t,19,186.37,185965.11
Blocksworld-GTOHP,Novelty-lm-tdg-f-t,26,327.58,2207.73
Blocksworld-GTOHP,lmcount-tdg,27,910.26,3617.15
Blocksworld-HPDDL,Novelty-lm-f-t,17,222.88,519515.82
Blocksworld-HPDDL,Novelty-lm-tdg-f-t,9,119.78,182917.78
Blocksworld-HPDDL,lmcount,5,68.60,594829.60
Blocksworld-HPDDL,lmcount-tdg,9,120.00,237360.22
Childsnack,lmcount,5,55.00,2618.20
Childsnack,Novelty-lm-f-t,5,55.00,2618.20
Childsnack,Novelty-lm-tdg-f-t,5,55.00,2618.20
Childsnack,lmcount-tdg,5,55.00,20784.20
Depots,lmcount,23,75.04,3652.48
Depots,Novelty-lm-f-t,25,106.08,33458.56
Depots,Novelty-lm-tdg-f-t,25,105.20,1954.64
Depots,lmcount-tdg,24,87.54,6741.88
Factories-simple,lmcount,6,167.17,1297704.33
Factories-simple,Novelty-lm-f-t,7,314.43,1150388.86
Factories-simple,Novelty-lm-tdg-f-t,8,543.00,427762.12
Factories-simple,lmcount-tdg,11,2737.27,3100831.64
Hiking,lmcount,12,58.00,2373670.75
Hiking,Novelty-lm-tdg-f-t,12,58.00,1496741.25
Hiking,lmcount-tdg,13,55.46,1381583.92
Monroe-Fully-Observable,lmcount,12,21.50,2284.42
Monroe-Fully-Observable,Novelty-lm-f-t,12,22.17,89213.50
Monroe-Fully-Observable,Novelty-lm-tdg-f-t,12,21.50,2910.33
Monroe-Fully-Observable,lmcount-tdg,12,21.00,14824.83
Monroe-Partially-Observable,lmcount,6,14.83,140754.33
Monroe-Partially-Observable,Novelty-lm-f-t,1,5.00,200470.00
Monroe-Partially-Observable,Novelty-lm-tdg-f-t,5,12.60,18268.80
Monroe-Partially-Observable,lmcount-tdg,5,9.40,7482.80
Multiarm-Blocksworld,Novelty-lm-f-t,25,181.36,796841.36
Multiarm-Blocksworld,Novelty-lm-tdg-f-t,13,98.69,1110331.00
Multiarm-Blocksworld,lmcount,6,57.83,3461157.17
Multiarm-Blocksworld,lmcount-tdg,15,113.80,3386662.73
Robot,lmcount,11,13.64,12616.18
Robot,Novelty-lm-f-t,11,12.36,11445.82
Robot,Novelty-lm-tdg-f-t,11,13.64,12519.00
Robot,lmcount-tdg,11,13.64,13140.00
Rover-GTOHP,lmcount,15,118.00,2311.07
Rover-GTOHP,Novelty-lm-f-t,15,98.60,254932.40
Rover-GTOHP,Novelty-lm-tdg-f-t,15,117.93,2385.93
Rover-GTOHP,lmcount-tdg,15,108.93,1107.60
Satellite-GTOHP,Novelty-lm-f-t,12,87.42,78531.42
Satellite-GTOHP,lmcount,5,29.40,550.60
Satellite-GTOHP,Novelty-lm-tdg-f-t,5,28.60,523.20
Satellite-GTOHP,lmcount-tdg,12,83.50,2597.83
Snake,lmcount,4,49.75,2805419.50
Snake,Novelty-lm-f-t,3,47.00,2026282.67
Snake,Novelty-lm-tdg-f-t,3,36.67,925175.67
Snake,lmcount-tdg,3,36.67,950656.67
Towers,lmcount,10,765.20,720617.60
Towers,Novelty-lm-f-t,10,765.20,732732.00
Towers,Novelty-lm-tdg-f-t,10,765.20,720617.60
Towers,lmcount-tdg,13,1259.15,1412935.38
Transport,lmcount-tdg,18,32.50,1438.06
